origA,origB,origC,defA,defB,defC,ssA,ssB,ssC,disp
1.22696,0.709979,10,1.23422,0.717634,10,14.7231,12.7825,20,0.0506788
1.22696,4.97072,10,1.25335,4.97303,10,14.7231,12.7825,20,0.127287
1.22696,9.23165,10,1.23124,9.22718,10,14.7231,12.7825,20,0.0297199
3.68081,0.709979,10,3.68653,0.715733,10,14.7231,12.7825,20,0.0390035
3.68081,4.97072,10,3.778,4.97667,10,14.7231,12.7825,20,0.467756
3.68081,9.23165,10,3.68539,9.22516,10,14.7231,12.7825,20,0.0381425
6.13466,0.709978,10,6.12895,0.687516,10,14.7231,12.7825,20,0.111332
6.13466,4.97072,10,6.33573,4.91682,10,14.7231,12.7825,20,1
6.13466,9.23165,10,6.1284,9.26806,10,14.7231,12.7825,20,0.177459
8.58851,0.709978,10,8.59423,0.687063,10,14.7231,12.7825,20,0.113466
8.58851,4.97072,10,8.39307,4.91127,10,14.7231,12.7825,20,0.981324
8.58851,9.23165,10,8.59275,9.26546,10,14.7231,12.7825,20,0.163687
11.0424,0.709979,10,11.0376,0.713774,10,14.7231,12.7825,20,0.0291563
11.0424,4.97072,10,10.9467,4.97523,10,14.7231,12.7825,20,0.460211
11.0424,9.23165,10,11.0365,9.22387,10,14.7231,12.7825,20,0.0467726
13.4962,0.709978,10,13.4892,0.717405,10,14.7231,12.7825,20,0.0491895
13.4962,4.97072,10,13.4702,4.97297,10,14.7231,12.7825,20,0.125542
13.4962,9.23165,10,13.4916,9.227,10,14.7231,12.7825,20,0.0315797
1.22689,3.55083,9.99999,1.2399,3.55413,10,14.7231,12.7825,20,0.0644486
1.22689,7.81176,9.99999,1.23387,7.80371,10,14.7231,12.7825,20,0.0511806
1.22689,12.0725,9.99999,1.23228,12.0772,10,14.7231,12.7825,20,0.0343953
3.68074,3.55083,9.99999,3.71716,3.56063,10,14.7231,12.7825,20,0.181149
3.68074,7.81176,9.99999,3.70493,7.79616,10,14.7231,12.7825,20,0.138252
3.68074,12.0725,9.99999,3.68229,12.0804,10,14.7231,12.7825,20,0.0386764
6.13459,3.55084,9.99999,6.18002,3.52898,10,14.7231,12.7825,20,0.242165
6.13459,7.81176,9.99999,6.13608,7.85643,10,14.7231,12.7825,20,0.214694
6.13459,12.0725,9.99999,6.13092,12.0637,10,14.7231,12.7825,20,0.0459887
8.58844,3.55084,9.99999,8.5464,3.52426,10,14.7231,12.7825,20,0.238905
8.58844,7.81176,9.99999,8.58237,7.85297,10,14.7231,12.7825,20,0.200112
8.58844,12.0725,9.99999,8.59213,12.0633,10,14.7231,12.7825,20,0.0476518
11.0423,3.55083,9.99999,11.0077,3.55926,10,14.7231,12.7825,20,0.170955
11.0423,7.81176,9.99999,11.0154,7.79466,10,14.7231,12.7825,20,0.153199
11.0423,12.0725,9.99999,11.0408,12.0788,10,14.7231,12.7825,20,0.0309453
13.4961,3.55083,9.99999,13.4839,3.55403,10,14.7231,12.7825,20,0.0607346
13.4961,7.81176,9.99999,13.4884,7.80353,10,14.7231,12.7825,20,0.0544053
13.4961,12.0725,9.99999,13.4908,12.077,10,14.7231,12.7825,20,0.0333721
0,1.42052,9.99999,0.00011261,1.42794,10,14.7231,12.7825,20,0.0356696
0,5.68126,9.99999,0.000135271,5.67527,10,14.7231,12.7825,20,0.0288009
0,9.94211,9.99999,-6.46834e-05,9.93724,10,14.7231,12.7825,20,0.0233834
2.45382,1.42052,9.99999,2.46444,1.4313,10,14.7231,12.7825,20,0.0727218
2.45382,5.68126,9.99999,2.50734,5.67784,10,14.7231,12.7825,20,0.257618
2.45382,9.94211,9.99999,2.45892,9.94015,10,14.7231,12.7825,20,0.0262572
4.90767,1.42052,9.99999,4.91757,1.41715,10,14.7231,12.7825,20,0.0502537
4.90767,5.68126,9.99999,5.07559,5.67306,10,14.7231,12.7825,20,0.807596
4.90767,9.94211,9.99999,4.89745,9.95606,10,14.7231,12.7825,20,0.0830417
7.36152,1.42052,9.99999,7.36148,1.37742,10,14.7231,12.7825,20,0.207036
7.36152,9.94211,9.99999,7.36119,9.96308,10,14.7231,12.7825,20,0.100756
9.81537,1.42052,9.99999,9.80695,1.4144,10,14.7231,12.7825,20,0.0499976
9.81537,5.68126,9.99999,9.64874,5.67011,10,14.7231,12.7825,20,0.80221
9.81537,9.94211,9.99999,9.82395,9.954,10,14.7231,12.7825,20,0.0704235
12.2692,1.42052,9.99999,12.2591,1.4306,10,14.7231,12.7825,20,0.0684682
12.2692,5.68126,9.99999,12.2162,5.67749,10,14.7231,12.7825,20,0.255491
12.2692,9.94211,9.99999,12.2636,9.93936,10,14.7231,12.7825,20,0.0300984
3.14485e-05,2.8404,10,0.000283653,2.84868,10,14.7231,12.7825,20,0.0397517
3.13013e-05,7.10126,10,-0.0003026,7.09483,10,14.7231,12.7825,20,0.0309195
3.15222e-05,11.362,10,7.93665e-06,11.3638,10,14.7231,12.7825,20,0.00887287
2.45388,2.8404,10,2.4736,2.85101,10,14.7231,12.7825,20,0.107532
2.45388,7.10126,10,2.47039,7.09378,10,14.7231,12.7825,20,0.0870456
2.45388,11.362,10,2.45905,11.3624,10,14.7231,12.7825,20,0.0248999
4.90773,2.8404,10,4.93248,2.84027,10,14.7231,12.7825,20,0.118881
4.90773,7.10126,10,4.94212,7.0983,10,14.7231,12.7825,20,0.165803
4.90773,11.362,10,4.90152,11.3654,10,14.7231,12.7825,20,0.0339835
7.36158,2.8404,10,7.36189,2.76348,10,14.7231,12.7825,20,0.369514
7.36158,7.10126,10,7.35816,7.24596,10,14.7231,12.7825,20,0.695312
7.36158,11.362,10,7.36158,11.3655,10,14.7231,12.7825,20,0.0169798
9.81543,2.8404,10,9.79368,2.83669,10,14.7231,12.7825,20,0.105991
9.81543,7.10126,10,9.77767,7.0959,10,14.7231,12.7825,20,0.183225
9.81543,11.362,10,9.821,11.3638,10,14.7231,12.7825,20,0.0280895
12.2693,2.8404,10,12.2508,2.85033,10,14.7231,12.7825,20,0.100888
12.2693,7.10126,10,12.2513,7.09353,10,14.7231,12.7825,20,0.0938383
12.2693,11.362,10,12.2641,11.3616,10,14.7231,12.7825,20,0.0249549
15.9501,0.709979,10,15.9573,0.717634,10,14.7231,12.7825,20,0.0506788
15.9501,4.97072,10,15.9765,4.97303,10,14.7231,12.7825,20,0.127287
15.9501,9.23165,10,15.9543,9.22718,10,14.7231,12.7825,20,0.0297199
-1.22689,0.709978,10,-1.23394,0.717405,10,14.7231,12.7825,20,0.0491895
-1.22689,4.97072,10,-1.25293,4.97297,10,14.7231,12.7825,20,0.125542
-1.22689,9.23165,10,-1.23154,9.227,10,14.7231,12.7825,20,0.0315797
15.95,3.55083,9.99999,15.963,3.55413,10,14.7231,12.7825,20,0.0644486
15.95,7.81176,9.99999,15.957,7.80371,10,14.7231,12.7825,20,0.0511806
15.95,12.0725,9.99999,15.9554,12.0772,10,14.7231,12.7825,20,0.0343953
-1.22696,3.55083,9.99999,-1.23919,3.55403,10,14.7231,12.7825,20,0.0607346
-1.22696,7.81176,9.99999,-1.23474,7.80353,10,14.7231,12.7825,20,0.0544053
-1.22696,12.0725,9.99999,-1.23225,12.077,10,14.7231,12.7825,20,0.0333721
14.7231,1.42052,9.99999,14.7232,1.42794,10,14.7231,12.7825,20,0.0356696
14.7231,5.68126,9.99999,14.7232,5.67527,10,14.7231,12.7825,20,0.0288009
14.7231,9.94211,9.99999,14.723,9.93724,10,14.7231,12.7825,20,0.0233834
-2.45388,1.42052,9.99999,-2.46396,1.4306,10,14.7231,12.7825,20,0.0684682
-2.45388,5.68126,9.99999,-2.50693,5.67749,10,14.7231,12.7825,20,0.255491
-2.45388,9.94211,9.99999,-2.45951,9.93936,10,14.7231,12.7825,20,0.0300984
14.7231,2.8404,10,14.7234,2.84868,10,14.7231,12.7825,20,0.0397517
14.7231,7.10126,10,14.7228,7.09483,10,14.7231,12.7825,20,0.0309195
14.7231,11.362,10,14.7231,11.3638,10,14.7231,12.7825,20,0.00887287
-2.45382,2.8404,10,-2.47233,2.85033,10,14.7231,12.7825,20,0.100888
-2.45382,7.10126,10,-2.47176,7.09353,10,14.7231,12.7825,20,0.0938383
-2.45382,11.362,10,-2.459,11.3616,10,14.7231,12.7825,20,0.0249549
1.22696,13.4925,10,1.23422,13.5002,10,14.7231,12.7825,20,0.0506788
3.68081,13.4925,10,3.68653,13.4983,10,14.7231,12.7825,20,0.0390035
6.13466,13.4925,10,6.12895,13.47,10,14.7231,12.7825,20,0.111332
8.58851,13.4925,10,8.59423,13.4696,10,14.7231,12.7825,20,0.113466
11.0424,13.4925,10,11.0376,13.4963,10,14.7231,12.7825,20,0.0291563
13.4962,13.4925,10,13.4892,13.4999,10,14.7231,12.7825,20,0.0491895
1.22689,-0.710014,9.99999,1.23228,-0.705299,10,14.7231,12.7825,20,0.0343953
3.68074,-0.710014,9.99999,3.68229,-0.702112,10,14.7231,12.7825,20,0.0386764
6.13459,-0.710015,9.99999,6.13092,-0.718854,10,14.7231,12.7825,20,0.0459887
8.58844,-0.710016,9.99999,8.59213,-0.719225,10,14.7231,12.7825,20,0.0476518
11.0423,-0.710016,9.99999,11.0408,-0.703758,10,14.7231,12.7825,20,0.0309453
13.4961,-0.710016,9.99999,13.4908,-0.705519,10,14.7231,12.7825,20,0.0333721
0,14.203,9.99999,0.00011261,14.2105,10,14.7231,12.7825,20,0.0356696
2.45382,14.203,9.99999,2.46444,14.2138,10,14.7231,12.7825,20,0.0727218
4.90767,14.203,9.99999,4.91757,14.1997,10,14.7231,12.7825,20,0.0502537
7.36152,14.203,9.99999,7.36148,14.1599,10,14.7231,12.7825,20,0.207036
9.81537,14.203,9.99999,9.80695,14.1969,10,14.7231,12.7825,20,0.0499976
12.2692,14.203,9.99999,12.2591,14.2131,10,14.7231,12.7825,20,0.0684682
3.15222e-05,-1.42052,10,7.93665e-06,-1.41867,10,14.7231,12.7825,20,0.00887287
2.45388,-1.42052,10,2.45905,-1.4201,10,14.7231,12.7825,20,0.0248999
4.90773,-1.42052,10,4.90152,-1.41714,10,14.7231,12.7825,20,0.0339835
7.36158,-1.42052,10,7.36158,-1.41699,10,14.7231,12.7825,20,0.0169798
9.81543,-1.42052,10,9.821,-1.41874,10,14.7231,12.7825,20,0.0280895
12.2693,-1.42052,10,12.2641,-1.42092,10,14.7231,12.7825,20,0.0249549
15.9501,13.4925,10,15.9573,13.5002,10,14.7231,12.7825,20,0.0506788
-1.22689,13.4925,10,-1.23394,13.4999,10,14.7231,12.7825,20,0.0491895
15.95,-0.710014,9.99999,15.9554,-0.705299,10,14.7231,12.7825,20,0.0343953
-1.22696,-0.710016,9.99999,-1.23225,-0.705519,10,14.7231,12.7825,20,0.0333721
14.7231,14.203,9.99999,14.7232,14.2105,10,14.7231,12.7825,20,0.0356696
14.7231,-1.42052,10,14.7231,-1.41867,10,14.7231,12.7825,20,0.00887287
